Kp,Km,f,Volume,Surface Area,Projection_1,Projection_2,Projection_3,AvgR,p,K
17.6600,7.7367,0.2924,0.4691,3.0673,0.8796,0.5027,0.8796,0.4820,1.7500,9.9774
18.4584,15.2240,0.0919,0.8378,4.4531,1.2566,0.7854,1.2566,0.5848,1.6000,15.5033
17.5768,1.0828,0.2771,0.2094,2.0044,0.3142,0.7854,0.3142,0.3684,0.4000,2.2278
7.1345,17.4298,0.0473,0.0838,1.0442,0.3142,0.1257,0.3142,0.2714,2.5000,16.8242
9.7357,14.3687,0.3184,2.7143,9.4338,2.2619,2.5447,2.2619,0.8653,0.8889,12.7770
6.3479,12.2386,0.9511,1.6965,7.3476,1.4137,2.5447,1.4137,0.7399,0.5556,6.5904
3.5956,1.2606,0.2517,0.5236,3.1416,0.7854,0.7854,0.7854,0.5000,1.0000,1.6626
1.6824,16.2701,0.4342,1.0556,5.0341,1.3195,1.1310,1.3195,0.6316,1.1667,8.6431
5.0125,16.2834,0.3970,1.3572,6.7271,1.1310,2.5447,1.1310,0.6868,0.4444,11.0198
12.7328,6.8960,0.0628,0.8042,5.0312,0.7540,2.0106,0.7540,0.5769,0.3750,7.1901
7.6001,5.8671,0.4926,0.2262,1.9314,0.5655,0.2827,0.5655,0.3780,2.0000,6.6806
16.7117,7.0540,0.0747,1.0472,5.3649,1.5708,0.7854,1.5708,0.6300,2.0000,7.5671
17.8287,12.7149,0.1803,0.8210,4.5008,0.8796,1.5394,0.8796,0.5809,0.5714,13.5466
16.2975,8.3598,0.1712,0.9425,4.9065,1.4137,0.7854,1.4137,0.6082,1.8000,9.4415
13.9643,2.5063,0.3653,0.3393,5.3110,0.2827,2.5447,0.2827,0.4327,0.1111,5.3086
17.1719,0.2468,0.9473,0.0209,0.4992,0.1571,0.0314,0.1571,0.1710,5.0000,10.6626
10.8517,7.3769,0.0884,0.6032,3.8038,1.1310,0.5027,1.1310,0.5241,2.2500,7.6464
15.4262,15.8669,0.8238,0.0419,0.9830,0.3142,0.0314,0.3142,0.2154,10.0000,15.5032
11.6603,12.1495,0.4096,1.6755,8.0175,1.2566,3.1416,1.2566,0.7368,0.4000,11.9475
19.0147,18.5612,0.9332,0.4189,2.7323,0.6283,0.7854,0.6283,0.4642,0.8000,18.9842
15.4704,18.5508,0.0855,0.1340,1.6131,0.5027,0.1257,0.5027,0.3175,4.0000,18.2730
15.5331,11.7859,0.3245,0.0168,0.3472,0.0628,0.1257,0.0628,0.1587,0.5000,12.9218
5.7536,0.4518,0.1695,0.0670,0.8584,0.2513,0.1257,0.2513,0.2520,2.0000,0.6832
8.8194,10.4539,0.1695,0.6158,4.0185,0.6597,1.5394,0.6597,0.5278,0.4286,10.1642
18.1235,9.1186,0.7292,0.0084,0.2146,0.0628,0.0314,0.0628,0.1260,2.0000,15.1628
6.5496,6.5655,0.2258,0.4691,3.0673,0.8796,0.5027,0.8796,0.4820,1.7500,6.5619
8.8923,1.8476,0.5478,1.3572,6.7271,1.1310,2.5447,1.1310,0.6868,0.4444,4.3992
9.5905,10.4691,0.5049,0.0042,0.1257,0.0314,0.0314,0.0314,0.1000,1.0000,10.0193
14.7046,18.1839,0.7192,0.3770,3.0574,0.9425,0.2827,0.9425,0.4481,3.3333,15.6352
0.3014,17.3616,0.6604,1.3572,6.7271,1.1310,2.5447,1.1310,0.6868,0.4444,4.4680
1.4128,10.2879,0.9628,0.1508,2.4353,0.1885,1.1310,0.1885,0.3302,0.1667,1.6029
13.9532,4.7980,0.0204,1.3572,6.0893,1.6965,1.1310,1.6965,0.6868,1.5000,4.9138
