Kp,Km,f,Volume,Surface Area,Projection,p,K
85.8579,28.6861,0.3207,1357.1680,609.0559,150.7964,1.5000,41.3970
35.2054,54.2215,0.8576,134.0413,138.7501,33.5103,0.5000,37.6304
66.7258,88.5160,0.9597,1256.6371,739.3969,167.5516,0.3000,67.5316
6.9703,78.0567,0.7554,339.2920,527.1923,103.6726,0.1111,16.1770
68.4807,36.1227,0.2754,113.0973,113.0973,28.2743,1.0000,43.4482
43.2577,58.1614,0.4468,1675.5161,800.1780,188.4956,0.4000,51.1620
66.9788,43.0888,0.4719,2932.1531,1014.4180,251.3274,0.7000,53.3662
84.0211,28.5239,0.0778,3769.9112,1173.7499,293.2153,0.9000,31.2286
19.2249,92.0766,0.2288,1256.6371,739.3969,167.5516,0.3000,69.9610
83.0523,85.6822,0.5748,2094.3951,867.1883,209.4395,0.5000,84.1639
53.4060,49.8893,0.9046,67.0206,85.9137,20.9440,2.0000,53.0634
36.9238,24.4564,0.8370,1675.5161,800.1780,188.4956,0.4000,34.6219
80.6741,0.7853,0.0130,904.7787,452.3893,113.0973,1.0000,0.8154
6.4567,94.8206,0.8730,25.1327,59.9386,13.6136,6.0000,14.0343
46.8480,32.3460,0.8736,83.7758,104.6073,25.1327,2.5000,44.7852
94.6146,87.5163,0.7723,339.2920,527.1923,103.6726,0.1111,92.9658
53.3168,83.4607,0.3810,301.5929,273.1847,62.8319,0.3333,70.9900
42.6838,77.2643,0.9462,904.7787,452.3893,113.0973,1.0000,44.2787
5.3834,56.0297,0.7164,134.0413,138.7501,33.5103,0.5000,16.0454
76.2310,62.9720,0.4805,469.1445,306.8801,75.3982,1.7500,69.1204
81.9973,8.9401,0.4148,33.5103,50.2655,12.5664,1.0000,20.6239
26.5048,84.9778,0.5700,733.0383,400.6645,99.4838,1.4000,47.9660
