Kp,Km,f,p,K
8.0466,8.4355,0.6765,1.4286,8.1711
3.6368,14.0553,0.4604,5.0000,8.4344
17.1250,9.4139,0.0204,0.8571,9.5382
11.6840,8.1779,0.6905,1.1429,10.4962
7.4716,19.7727,0.2272,0.7500,16.4396
4.4339,9.7050,0.2177,2.0000,8.3628
4.3799,2.3453,0.0801,0.9000,2.4740
10.4446,17.1617,0.5405,1.3333,13.2985
8.6685,6.8395,0.5941,9.0000,7.8896
14.8261,6.3276,0.0744,1.0000,6.7746
1.4090,7.5505,0.1822,0.4000,6.0589
16.9467,17.3976,0.4126,0.6667,17.2106
13.5976,10.6287,0.1678,0.1111,11.0941
2.7330,0.5031,0.8824,2.0000,2.1996
17.1680,4.9671,0.9105,7.0000,15.4795
3.9967,14.4736,0.4307,0.5000,9.1931
12.1468,8.6476,0.1308,0.2857,9.0597
10.8609,5.2290,0.5069,0.7500,7.6573
3.2465,3.7882,0.7958,3.0000,3.3528
0.1131,4.2896,0.5993,1.0000,1.4124
15.4297,9.8979,0.6804,1.0000,13.4502
15.2958,0.6600,0.4668,0.5000,2.1872
8.4214,7.4525,0.7120,0.5714,8.1339
1.1363,7.1335,0.2892,1.0000,4.9677
11.7149,5.4941,0.0285,1.5000,5.6244
3.4831,5.2880,0.4988,8.0000,4.3302
14.5722,14.8903,0.1953,0.4000,14.8278
10.6858,2.6337,0.9638,0.2500,10.1839
5.0613,16.0617,0.7631,0.2500,7.0751
18.3411,6.0881,0.6128,2.5000,12.1491
15.1639,6.8569,0.3863,1.0000,9.4286
17.7406,13.1868,0.9114,2.6667,17.2961
1.3760,0.7793,0.5359,2.6667,1.0664
3.6706,15.4429,0.7496,0.2500,5.8497
14.7415,13.8017,0.4079,1.0000,14.1799
13.9343,18.5449,0.3411,0.1429,16.8717
15.5399,1.2404,0.7469,0.8333,6.6770
10.0381,13.7493,0.8050,0.2000,10.7038
8.5099,14.5139,0.3940,1.3333,11.9318
12.2247,16.9306,0.7751,3.5000,13.2034
17.1154,11.0760,0.5078,4.5000,13.9031
13.4159,16.8479,0.3943,0.5000,15.4360
10.4718,0.9784,0.3828,1.2500,2.2012
5.9763,15.1761,0.8834,0.8000,6.8518
14.0794,13.5200,0.7304,1.6667,13.9271
7.6322,17.4886,0.7662,1.0000,9.5893
11.3537,6.6189,0.4891,0.6000,8.6868
17.7572,10.3700,0.4078,4.0000,13.0314
16.8590,9.0789,0.8742,1.0000,15.6444
17.9760,3.5901,0.2476,4.0000,5.5869
18.7801,16.9480,0.0170,0.5556,16.9780
16.3087,0.9285,0.0974,1.1111,1.1796
0.0272,10.4719,0.8084,0.5000,1.3930
0.0618,4.6541,0.9816,3.0000,0.1163
1.7494,18.0655,0.4955,2.0000,8.4566
5.2145,10.8251,0.4295,0.5556,8.1441
0.4560,1.9737,0.6961,1.0000,0.8280
8.4817,17.1417,0.2185,0.3000,14.9261
6.8213,0.8548,0.0763,1.0000,0.9992
10.8271,2.8408,0.4607,1.2500,5.2910
18.5234,4.3500,0.3842,0.7778,7.6267
5.9700,15.5492,0.2410,1.4000,12.8106
6.7617,7.1521,0.7604,0.8571,6.8539
17.1896,0.5065,0.9651,2.6667,13.0087
6.8096,16.6756,0.0949,2.0000,15.5289
2.7624,7.2640,0.7798,1.0000,3.5863
10.1560,15.7712,0.1886,1.4286,14.5985
17.1331,17.5932,0.0095,1.2857,17.5888
7.6863,13.5302,0.4101,1.6000,10.9089
13.9138,10.9049,0.1413,1.2857,11.2990
12.5581,17.9778,0.5328,3.0000,14.9445
9.0078,1.9899,0.5578,9.0000,4.8718
9.4724,1.8188,0.6934,2.3333,5.6570
18.9941,0.6848,0.8764,2.5000,9.2982
1.6700,6.4835,0.0196,1.2500,6.3585
5.5966,3.3213,0.6866,0.8000,4.7795
8.9401,19.9616,0.9864,1.7500,9.0620
11.7514,8.3097,0.9858,10.0000,11.6961
17.5527,15.0867,0.4561,0.7143,16.1791
9.3820,13.8663,0.3480,2.5000,12.1851
8.7484,15.4129,0.9829,0.8333,8.8460
14.9237,18.2452,0.4859,0.1667,16.5761
9.3582,6.2136,0.3151,2.5000,7.1043
17.2165,4.0943,0.3814,1.0000,7.1076
9.3302,1.4576,0.0180,2.5000,1.5139
9.9621,11.7440,0.5036,1.0000,10.8235
9.7486,10.8497,0.1270,1.8000,10.7056
4.5894,12.8817,0.3052,7.0000,9.8559
1.7110,11.9601,0.2561,1.0000,8.6276
1.3477,9.0004,0.0023,0.8571,8.9759
17.7678,3.2510,0.7727,2.5000,11.9144
4.6634,15.2984,0.6618,3.3333,7.6163
17.2319,19.6660,0.3980,2.5000,18.6725
14.2347,2.8629,0.5011,2.0000,6.4007
17.4563,16.5541,0.6126,2.0000,17.1029
18.7600,17.6227,0.1331,0.5714,17.7712
2.7938,1.4090,0.2834,10.0000,1.7344
7.8780,9.5573,0.8374,5.0000,8.1372
19.6113,14.7751,0.8659,0.3333,18.9048
12.8959,14.6747,0.0548,0.5000,14.5734
17.9282,16.3249,0.4932,2.5000,17.1028
9.6446,10.6696,0.8301,0.2000,9.8139
0.2819,11.2167,0.9185,0.5714,0.8832
12.4576,6.9305,0.8012,2.0000,11.1421
4.6219,11.0151,0.9788,1.0000,4.7318
10.5487,0.4221,0.5715,0.8750,1.7343
14.4998,14.7354,0.0638,1.0000,14.7203
12.1483,16.6794,0.0864,0.5000,16.2518
11.7673,16.7264,0.9768,3.0000,11.8710
8.6687,0.6624,0.4487,1.3333,1.7942
4.8835,18.2434,0.8942,1.0000,5.9805
8.5792,1.8985,0.9112,1.1429,7.4132
0.2035,17.0182,0.9614,0.1111,0.4439
12.1764,10.4440,0.7781,0.8571,11.7756
19.1595,0.3273,0.9481,0.5000,9.8756
1.9089,2.5835,0.6791,0.7143,2.1122
0.7118,11.8635,0.7142,1.0000,3.1160
17.7247,14.4357,0.1376,1.0000,14.8605
4.9388,0.7405,0.0828,1.2500,0.8685
0.1783,3.5234,0.1122,0.7500,2.9985
16.2984,4.6487,0.3692,0.2000,7.7639
2.8100,14.3003,0.9654,10.0000,3.0892
17.5973,15.4117,0.3624,1.0000,16.1806
1.9075,11.7876,0.9304,1.3333,2.4113
7.0512,17.4588,0.0960,0.8333,16.2403
11.8684,9.0798,0.1219,2.0000,9.3921
11.7036,19.6786,0.4886,0.7778,15.4917
13.3536,5.1992,0.9225,1.0000,12.4288
12.9605,13.8134,0.1348,0.2500,13.6963
8.6674,11.9349,0.1444,1.4000,11.4230
2.7952,5.5866,0.3333,2.5000,4.5356
15.0386,5.5842,0.4550,0.5000,8.9173
4.8357,13.6754,0.0084,1.1667,13.5810
13.0092,16.2256,0.4083,0.7500,14.8587
17.1475,1.5248,0.1809,9.0000,2.7315
1.6874,7.3875,0.8734,1.0000,2.2417
19.4418,16.1247,0.5489,0.6667,17.8910
0.6292,19.1666,0.8613,1.2000,2.4491
16.7081,19.8747,0.0531,0.2500,19.6972
16.7143,8.5114,0.5110,1.4000,12.1383
0.9972,8.6631,0.1458,0.1667,6.8407
10.9177,6.7689,0.4387,1.2000,8.4019
18.8634,9.0934,0.4553,4.0000,12.8694
6.4295,15.3995,0.3181,0.4444,12.0797
16.1293,15.1140,0.9255,1.5000,16.0521
12.0280,19.8479,0.7215,2.2500,13.9868
15.7924,4.0615,0.6366,2.0000,9.6864
15.9837,7.5083,0.9458,0.2500,15.3872
0.9913,14.1734,0.7303,3.0000,3.5822
5.6640,3.2700,0.5219,1.5000,4.3900
13.0691,6.4792,0.6472,0.5000,10.3052
9.7931,16.1802,0.7360,0.8889,11.3100
19.4570,4.3791,0.8710,5.0000,16.1811
14.9698,6.5678,0.8671,0.4000,13.4915
11.3568,9.2400,0.2289,0.5714,9.6977
5.9793,7.0466,0.3010,1.4286,6.7135
5.1222,1.4708,0.4099,1.6667,2.4877
17.7313,10.1039,0.1923,0.5000,11.3297
8.9360,5.4840,0.1946,0.3333,6.0640
16.3197,11.3527,0.1496,1.0000,12.0140
1.9667,0.5502,0.8552,0.5000,1.6360
17.1919,12.2743,0.9307,0.2222,16.8122
0.5526,8.4722,0.7796,1.1429,1.8418
17.9831,12.9059,0.1583,3.0000,13.6317
17.9987,6.1224,0.7292,0.2857,13.6831
10.4821,5.8157,0.1935,4.0000,6.5676
2.4040,8.6103,0.4582,3.0000,5.3090
3.5559,11.0055,0.8554,0.1429,4.3332
14.1222,2.4492,0.1318,7.0000,3.2542
16.6272,2.6085,0.6139,1.0000,7.6954
0.6967,4.5758,0.6384,0.1250,1.6075
15.1568,2.1385,0.7520,1.3333,8.6894
19.1422,1.8607,0.2567,3.0000,3.4613
6.8574,3.7715,0.5487,0.8000,5.2796
12.7649,13.6699,0.9380,0.6667,12.8198
6.8601,10.8297,0.9501,1.0000,7.0352
4.3294,10.4281,0.6055,3.0000,6.4106
15.7240,18.8363,0.8106,1.7500,16.2869
14.4618,12.7500,0.3151,0.3750,13.2736
5.5768,14.3712,0.2721,8.0000,11.5128
11.6486,8.4888,0.4287,1.6667,9.7546
8.4201,4.9672,0.7473,1.3333,7.4053
1.8414,18.7197,0.4650,0.9000,9.3650
0.4805,16.0426,0.9837,0.1667,0.5998
9.8229,15.2327,0.8487,4.5000,10.5544
5.5653,1.2351,0.3219,0.8889,2.0134
6.7951,18.1331,0.1786,0.6250,15.6790
5.7470,13.1126,0.8552,1.7500,6.6346
3.4181,18.9590,0.8604,1.0000,5.0575
7.9853,10.9048,0.1050,1.2857,10.5716
13.9530,6.1064,0.7605,1.1429,11.5196
4.0735,1.7703,0.1391,1.5000,2.0045
13.3265,8.4307,0.6071,5.0000,11.2045
8.8613,7.3507,0.7927,0.2500,8.5320
8.6659,17.0506,0.2118,0.5000,15.0006
3.5048,19.6785,0.0321,0.4286,18.9440
3.8640,1.0771,0.8034,0.7000,2.9969
12.3284,7.1427,0.0393,1.0000,7.3081
5.3802,19.9813,0.7410,1.0000,8.4334
11.1936,8.3003,0.3393,1.4000,9.2123
18.8957,7.6130,0.4161,0.8889,11.2578
14.2894,2.0916,0.1938,0.5556,3.0529
13.5844,11.7922,0.9471,1.0000,13.4850
19.1876,2.9264,0.1356,2.2500,3.8391
15.5067,7.5315,0.4694,0.6667,10.6914
12.1545,18.7270,0.8513,4.0000,13.0288
18.9600,14.0074,0.2468,1.4000,15.1305
1.1928,4.8587,0.4314,0.5000,2.9938
5.3742,14.8424,0.9942,0.5000,5.4169
19.7336,6.5328,0.9277,0.3750,18.2722
15.4441,7.3992,0.0430,1.2857,7.6565
9.5071,9.8559,0.5477,6.0000,9.6638
13.6180,4.0124,0.0015,0.5714,4.0205
8.3387,5.7513,0.7248,1.0000,7.5522
7.6030,5.8519,0.6188,2.0000,6.8961
4.2654,8.5969,0.3723,0.7500,6.7928
7.6588,9.5623,0.2942,6.0000,8.9741
0.5934,18.6384,0.0551,0.5556,17.1645
9.4464,16.7246,0.7007,0.3750,11.3787
6.6675,5.7995,0.8930,7.0000,6.5705
19.5169,19.1615,0.7260,2.5000,19.4191
11.1089,14.4610,0.5855,5.0000,12.4314
16.9261,17.2962,0.9522,2.3333,16.9436
8.1613,10.4650,0.3607,0.6000,9.5927
9.2404,1.0554,0.0913,0.5000,1.2953
16.5261,19.2003,0.4869,0.6667,17.8663
19.8241,13.4442,0.1656,0.4000,14.3815
10.4790,1.3093,0.2573,0.2857,2.3491
18.5087,19.5827,0.0017,1.4286,19.5808
14.7804,5.8969,0.7633,1.6000,11.9704
11.3486,18.9982,0.7638,0.6000,12.9613
19.3756,3.4684,0.0157,1.2500,3.5685
16.4900,0.0181,0.1237,0.5000,0.0269
19.1922,17.5691,0.0804,4.0000,17.6961
12.9269,17.0107,0.0781,0.6250,16.6663
7.5915,6.7282,0.5912,0.5000,7.2299
9.5315,1.9666,0.4961,1.5000,4.2718
18.2378,12.5624,0.4929,0.5556,15.1644
0.2971,8.0083,0.6482,0.8889,2.3721
3.1339,18.5610,0.8407,0.9000,4.9912
9.4314,17.6121,0.0171,0.6000,17.4461
10.8598,12.3816,0.8441,4.5000,11.0888
1.1938,17.8788,0.7719,5.0000,3.8752
13.1606,4.1811,0.2891,0.3333,5.9894
17.7927,5.1660,0.7006,0.7000,12.3039
2.1927,0.0825,0.9130,0.7000,1.2055
8.7555,1.8091,0.9449,0.5000,7.9734
5.6046,11.9164,0.2680,3.3333,9.9592
19.7049,5.9863,0.1544,2.3333,7.3132
12.1752,15.5087,0.3706,0.8750,14.2149
5.0750,12.8478,0.2228,1.6667,10.7877
2.6523,3.5909,0.0263,1.8000,3.5640
10.9001,5.6668,0.1811,2.5000,6.4305
16.5561,2.7171,0.2438,2.0000,4.2690
16.7401,11.2699,0.9971,0.5556,16.7219
16.6670,2.8851,0.6549,8.0000,9.5560
4.0743,17.1211,0.1178,1.3333,15.1352
10.8884,0.6082,0.8248,0.9000,4.8809
17.4989,17.0065,0.7314,0.7778,17.3657
2.4200,4.6560,0.7144,0.6667,2.9812
17.1270,15.0987,0.5572,4.0000,16.2072
17.9955,1.1278,0.3811,1.0000,2.7011
4.3573,14.1529,0.3474,1.1250,10.1463
1.5396,3.6824,0.0854,0.1429,3.4447
9.4843,19.8921,0.2122,0.3333,17.2924
16.7005,10.3340,0.0886,0.4000,10.8125
9.3879,10.7630,0.7595,0.1667,9.7073
8.2754,5.4303,0.0696,1.0000,5.6007
10.0549,7.5651,0.5858,0.5556,8.9609
2.5088,10.2429,0.2828,0.7143,7.5659
2.6457,10.3084,0.5217,0.8333,5.7713
17.4095,9.3787,0.9743,2.3333,17.1479
12.0590,3.0833,0.6842,0.2000,8.1334
5.3060,4.3025,0.4015,0.7000,4.6876
17.2961,12.9035,0.1048,1.0000,13.3212
1.1622,12.1228,0.4149,5.0000,6.4478
9.1551,3.6469,0.5477,0.5000,6.1279
14.4442,17.3538,0.2314,2.5000,16.6501
6.7800,10.5544,0.0060,0.1429,10.5280
8.0244,19.4908,0.5411,0.6667,12.6626
10.5396,5.7097,0.8799,1.5000,9.8217
17.8847,18.9816,0.3784,0.2222,18.5614
15.5672,12.1521,0.8265,0.3000,14.9313
1.3874,15.5298,0.1527,1.0000,12.6218
5.5757,1.2696,0.6003,1.6000,3.0693
7.5874,11.8231,0.8384,0.4444,8.1998
17.2935,17.9952,0.3223,0.1250,17.7670
8.3992,10.1958,0.4060,1.0000,9.4401
4.7975,10.6567,0.4145,2.3333,7.9250
11.9531,15.9715,0.5781,0.5000,13.5619
9.5881,13.1019,0.1286,1.1250,12.6117
17.9710,9.2612,0.1042,1.4286,9.9709
18.6942,11.1463,0.1436,1.0000,12.0546
16.3577,14.8607,0.4398,0.6667,15.5069
14.1782,10.2864,0.4718,2.0000,12.0095
14.8644,2.4156,0.6867,0.7500,8.0056
17.9942,5.3617,0.3593,0.8000,8.3888
1.3048,18.4972,0.3095,3.3333,11.5419
6.7182,11.7879,0.0412,1.0000,11.5460
0.0867,10.7845,0.9475,0.7000,0.4649
16.5619,18.7453,0.0746,1.0000,18.5763
10.1487,5.1126,0.9497,0.9000,9.8178
7.3232,18.2380,0.2325,0.6667,15.2340
4.5328,11.1423,0.0855,0.8333,10.4523
10.6966,14.7737,0.7285,0.8333,11.7274
5.7897,13.6864,0.7540,0.5556,7.4271
1.3674,2.7941,0.8952,1.0000,1.4938
1.6994,19.4698,0.6029,2.0000,7.2067
1.3668,8.4908,0.4817,1.6667,4.4604
8.1963,1.5242,0.3207,1.5000,2.6151
2.4676,2.1585,0.4632,0.5000,2.2982
8.8603,19.4448,0.4575,1.4286,14.0696
17.9788,11.4071,0.5896,1.7500,15.0024
7.0728,9.6765,0.7345,0.5000,7.7165
2.4036,12.8998,0.9993,0.7500,2.4088
11.3822,4.3641,0.8279,0.2000,9.7864
17.5007,13.8981,0.2795,0.7778,14.8462
6.9715,4.9151,0.8318,1.0000,6.5864
0.8384,12.6724,0.5282,1.1667,5.3416
2.8468,19.2027,0.0074,0.6000,19.0305
1.5319,14.5284,0.7570,0.6667,3.8997
14.8105,19.3932,0.8506,2.6667,15.4480
9.1305,15.2428,0.2251,0.5000,13.7032
13.3650,10.5019,0.4498,0.5000,11.7292
13.9849,8.9358,0.8875,0.7000,13.3243
11.4271,12.7672,0.0925,1.8000,12.6391
12.5739,6.1428,0.4964,0.2222,8.9235
17.5553,8.8681,0.2286,0.7000,10.4581
13.2470,13.3054,0.1107,1.1250,13.2989
17.5083,16.4455,0.4502,1.5000,16.9184
9.3503,6.3804,0.0319,5.0000,6.4632
2.8267,13.1409,0.2337,0.3750,10.0182
1.3627,10.1081,0.4914,1.1667,5.0693
14.2848,3.1489,0.3442,1.1667,5.3146
6.1597,6.1015,0.5907,1.0000,6.1359
13.4233,2.1020,0.2322,0.2857,3.3959
13.0484,17.4124,0.8901,0.1250,13.4881
10.6210,13.5790,0.5675,0.2500,11.8431
14.3021,16.5375,0.8303,1.2500,14.6671
10.0962,18.9214,0.1679,2.0000,17.2148
9.7600,12.6121,0.3140,0.6667,11.6675
9.9568,10.2680,0.5766,0.5000,10.0878
18.7195,11.1199,0.1217,1.6000,11.8918
7.7856,19.7486,0.6683,0.6250,11.1668
2.3429,12.5380,0.1806,1.8000,10.1512
4.8085,17.0403,0.1780,0.6250,14.3134
13.6982,9.8050,0.8102,1.4286,12.8823
16.7851,0.3992,0.0575,0.1000,0.5791
19.4029,4.8766,0.5833,1.2500,10.8829
4.3034,11.0015,0.7042,1.7500,5.9773
15.2069,2.0313,0.9041,0.4444,12.1194
11.6821,9.4862,0.2895,1.0000,10.0889
8.0590,3.4906,0.8599,0.5000,7.2029
10.2008,6.5077,0.4099,0.1000,7.8942
9.9129,2.2077,0.9980,2.0000,9.8807
13.0274,8.5647,0.6164,0.5556,11.1463
14.8741,14.3798,0.9601,1.2500,14.8542
6.0391,15.3523,0.0388,1.0000,14.9039
1.7922,18.5437,0.1803,0.6000,14.4761
16.5193,15.1391,0.1111,2.0000,15.2884
7.7917,6.6500,0.1863,0.4286,6.8533
15.5061,17.6112,0.8775,1.0000,15.7549
3.5874,10.5122,0.6152,0.3333,5.8015
2.1872,5.3468,0.7577,2.0000,2.8293
18.1032,3.3643,0.5449,1.1250,8.1944
17.5270,0.9002,0.1966,1.0000,1.4499
19.9959,3.4155,0.7606,1.5000,12.5852
17.2851,18.5155,0.1723,1.2500,18.2996
0.7376,2.1725,0.8616,0.1250,0.8812
10.8936,16.6830,0.8315,3.5000,11.7701
19.9523,3.0363,0.7491,4.0000,12.4579
10.2202,17.1175,0.7212,1.0000,11.9495
17.4702,11.9714,0.5231,0.3000,14.6629
1.4044,3.9554,0.9122,1.7500,1.5827
19.7508,15.9506,0.2809,2.0000,16.9609
18.4543,15.7477,0.1107,1.0000,16.0329
11.2852,1.9117,0.3544,0.8571,3.5322
8.6292,3.4290,0.1178,0.4000,3.8643
6.7569,12.0562,0.6059,0.3333,8.6324
14.4145,6.5020,0.3599,1.3333,8.7659
0.2731,5.3457,0.5751,2.2500,1.9434
7.4812,15.7860,0.6194,0.7500,10.2720
18.4537,12.3323,0.7209,8.0000,16.5620
10.9296,13.7293,0.5572,1.0000,12.1208
9.4777,13.9487,0.4495,0.6000,11.8118
9.9307,18.6404,0.3455,1.0000,15.2894
6.1794,2.4038,0.0603,1.0000,2.5562
19.0168,12.1377,0.4440,3.0000,14.9120
19.6399,9.7974,0.2209,0.8571,11.5222
10.2713,10.5940,0.7248,1.6667,10.3594
19.8518,4.4374,0.7429,1.0000,13.2613
9.1169,14.9636,0.2610,3.0000,13.2694
8.5208,5.1631,0.0039,0.3333,5.1741
4.2643,3.9823,0.7857,2.5000,4.2027
3.8650,17.4305,0.9870,0.1250,3.9719
16.6551,0.5437,0.6085,1.6667,2.6852
14.5327,0.7268,0.3594,0.4444,1.8466
10.5949,8.7599,0.9643,1.2000,10.5251
16.5816,1.3138,0.8732,1.1111,10.2632
10.2375,19.5877,0.4351,1.5000,15.1136
11.0392,12.5780,0.1533,0.4286,12.3336
4.2657,13.1266,0.6514,1.1667,6.8625
11.7564,6.5581,0.1605,0.6667,7.2424
2.8553,9.5100,0.3195,4.0000,6.9429
1.0445,0.3248,0.1488,3.5000,0.3942
13.6662,4.0006,0.1612,1.0000,4.9303
12.1712,17.1699,0.2521,0.8333,15.8110
4.3931,1.3508,0.4825,1.0000,2.4080
8.1256,6.2150,0.4281,1.3333,6.9877
12.5982,16.5325,0.8950,1.0000,12.9818
11.1062,12.2374,0.2876,0.5000,11.9047
2.5516,18.2920,0.3001,0.5000,12.2652
3.3840,17.6822,0.5648,0.5556,8.4729
0.0200,4.9063,0.7675,0.8333,0.8405
8.3632,19.1640,0.9064,1.5000,9.1969
9.7697,9.0459,0.3661,1.2500,9.3065
3.1974,17.7712,0.3059,1.0000,12.2687
13.3368,9.2970,0.6038,0.8000,11.6042
0.3584,11.7044,0.4892,0.2857,4.5964
2.3935,0.2336,0.2444,1.1667,0.3928
19.0425,14.5687,0.8724,1.0000,18.4214
19.5171,8.3060,0.5313,1.3333,13.2320
0.6183,2.3727,0.7317,1.0000,0.9982
9.8776,11.9251,0.4048,0.7000,11.0669
17.2544,0.0938,0.7220,0.2500,1.1900
4.8575,18.7891,0.7038,2.6667,8.1607
16.6854,13.8282,0.2974,0.4000,14.6393
16.2718,5.4360,0.0806,0.3333,6.0081
12.5795,15.0747,0.6192,1.3333,13.4966
0.0448,13.1666,0.4684,2.5000,5.5779
7.5945,5.6742,0.9528,1.0000,7.4942
18.0881,10.7123,0.3352,1.6667,12.8614
13.6070,1.2043,0.6936,1.1250,5.4042
7.5765,13.5485,0.4648,4.0000,10.5233
12.6391,18.4577,0.2534,2.0000,16.8559
4.8654,9.3328,0.4771,1.1111,7.0071
11.4283,7.3762,0.6119,0.5556,9.6938
19.6346,18.3479,0.4488,0.8000,18.9180
16.9936,0.2315,0.0861,1.2500,0.2950
5.6689,18.5847,0.9729,6.0000,5.9318
13.6492,13.8684,0.1987,1.4000,13.8246
7.1625,16.4247,0.0897,6.0000,15.4057
19.7385,17.1547,0.5430,0.1111,18.5280
1.6797,2.2115,0.1624,1.5000,2.1189
5.0061,14.1000,0.0048,1.0000,14.0448
16.2269,11.0333,0.5459,0.5000,13.6840
1.6885,10.4126,0.6307,2.2500,4.2412
10.6251,6.2746,0.3931,0.5556,7.7785
16.0125,3.2283,0.5675,1.6667,7.9207
14.7765,6.3946,0.0833,1.4000,6.8943
2.8333,13.4213,0.5009,1.0000,7.3163
8.7579,10.4790,0.0861,3.0000,10.3230
7.0076,12.1560,0.2520,5.0000,10.6963
9.5699,15.2063,0.1730,1.5000,14.1193
11.7481,3.2773,0.0327,1.5000,3.4299
2.9161,9.8872,0.8765,2.5000,3.5851
18.1066,15.2938,0.0577,5.0000,15.4475
12.8039,6.0162,0.4676,0.1111,8.7845
3.2588,16.7773,0.6073,0.3333,7.3989
11.3182,13.5962,0.3577,2.2500,12.7507
18.6323,6.5692,0.4463,3.0000,10.6932
15.6620,10.7653,0.7962,0.6250,14.5485
13.7137,16.7563,0.8138,4.0000,14.2516
9.3244,4.8595,0.3030,3.0000,5.9858
5.2064,0.3897,0.2469,3.0000,0.7473
11.3854,12.1496,0.3893,3.3333,11.8482
4.9754,10.7759,0.1643,0.7778,9.6538
6.3860,4.5270,0.7512,1.0000,5.8775
18.2160,18.3988,0.0606,0.8000,18.3877
17.7044,18.7199,0.0913,1.5000,18.6256
15.8918,9.7726,0.9399,0.2857,15.4587
18.5162,13.9526,0.5837,2.3333,16.5023
3.5768,10.3317,0.8580,1.2500,4.3503
10.3508,5.7047,0.3803,0.5000,7.2246
12.5401,0.1890,0.3604,10.0000,1.2309
18.2636,5.8590,0.2921,5.0000,8.4230
13.2794,13.3297,0.0856,0.5556,13.3254
7.7839,3.1018,0.6456,8.0000,5.7329
14.8002,4.5116,0.9332,0.8333,13.6509
16.3527,17.5524,0.5444,0.5000,16.8924
12.0069,12.1146,0.6700,0.9000,12.0424
1.6999,12.9363,0.9251,0.2857,2.2478
18.4472,1.3837,0.5747,1.6667,5.1047
1.0720,4.3709,0.9128,1.5000,1.2911
10.5405,15.5999,0.9275,3.0000,10.8690
2.3771,12.5815,0.2877,0.8750,8.9434
7.6029,1.4123,0.9407,10.0000,6.9311
16.2567,13.1444,0.8146,0.1000,15.6461
4.8819,10.3932,0.5252,1.6667,7.2294
17.6885,18.9506,0.8196,0.2857,17.9120
14.2529,0.4170,0.6966,0.6667,2.7101
7.5630,14.5744,0.8745,2.0000,8.3143
4.9784,7.9704,0.5677,1.2500,6.1744
5.0571,13.7449,0.6784,0.6667,7.4152
15.3449,1.4617,0.0288,2.5000,1.5747
0.9972,15.1609,0.7594,1.4286,3.5192
13.7058,1.0145,0.1754,0.5000,1.5630
12.4056,12.8482,0.5599,7.0000,12.5991
14.9337,10.0155,0.5322,0.5000,12.4506
19.5451,10.6018,0.3040,1.2500,12.8769
7.6783,14.7650,0.7001,3.0000,9.5430
5.2041,5.4914,0.9521,1.5000,5.2177
17.5494,4.7607,0.5448,2.0000,9.7995
16.1219,15.1989,0.2591,1.6667,15.4345
9.2224,19.2019,0.0211,1.2500,18.9483
1.8192,3.3241,0.7574,0.1429,2.1315
11.2854,7.5719,0.0079,0.3750,7.5972
3.7477,1.9360,0.2655,2.2500,2.3301
10.6338,18.6912,0.5501,7.0000,13.9322
7.1007,16.0583,0.1385,2.0000,14.5736
6.2957,14.6041,0.4460,0.6667,10.4564
14.5348,15.8943,0.1418,0.8000,15.6966
10.3155,11.4714,0.8756,1.0000,10.4550
15.8129,7.2338,0.5501,2.0000,11.2619
4.0899,3.2267,0.5846,2.2500,3.7134
13.5621,17.7274,0.5308,1.5000,15.4318
1.0497,18.0400,0.8596,0.3333,2.5930
16.0234,15.1716,0.5072,0.8333,15.5997
13.5714,7.2358,0.7363,0.2222,11.6110
18.9202,9.9245,0.8575,0.9000,17.3200
1.8312,13.1737,0.1143,0.2857,11.2646
18.1688,5.7793,0.4333,1.5000,9.6222
10.1991,2.8611,0.2848,4.0000,4.2461
12.2981,6.1627,0.8686,1.3333,11.2703
6.3214,6.9488,0.0670,3.5000,6.9056
1.5497,2.7908,0.6114,0.2222,1.9788
17.0123,4.3248,0.3443,0.7778,6.9973
2.8905,11.1164,0.2697,0.7500,8.4050
7.4097,1.0237,0.5701,0.1250,3.5402
12.4478,8.3471,0.1322,1.2500,8.8218
19.9510,14.2316,0.1350,3.0000,14.9254
10.3469,17.5855,0.9350,0.2222,10.7487
19.8102,12.0296,0.3356,1.0000,14.3139
4.5307,9.2994,0.1976,0.7778,8.2065
7.9601,16.3084,0.0716,2.0000,15.5954
13.9314,6.4425,0.9118,0.3000,13.0711
1.2928,7.5278,0.9569,4.0000,1.4823
14.9532,2.7603,0.3593,10.0000,5.4995
8.4080,13.0718,0.0961,1.5000,12.5694
16.2263,0.5098,0.8935,2.6667,8.2148
7.5921,4.6737,0.3836,0.5000,5.6692
6.3814,19.5756,0.1581,0.5714,16.9819
19.7210,18.8604,0.6419,0.7500,19.4098
14.3636,19.6213,0.0384,1.0000,19.4004
8.2637,1.3393,0.0668,1.1250,1.5171
1.9726,3.9051,0.5390,1.2500,2.7775
14.6912,8.4681,0.9183,0.8750,14.0704
12.7461,10.7415,0.1667,1.6667,11.0593
1.4768,9.2655,0.1246,1.5000,7.9726
2.4102,12.5182,0.0137,3.0000,12.3245
19.6319,10.0512,0.7628,2.5000,16.8687
9.9360,15.8355,0.7228,1.1250,11.4195
0.4483,14.2070,0.8544,0.5000,1.8142
1.0766,11.3881,0.2500,2.0000,8.0120
2.8175,3.1420,0.6149,4.0000,2.9397
17.8695,12.5121,0.0486,1.2857,12.7414
9.3164,18.5167,0.1128,0.6667,17.2977
11.2171,19.6639,0.3481,0.7500,16.4189
9.8891,14.4635,0.4719,0.5000,12.1746
